TimeSinceStart,UserHeight,TrialNo,TrialID,ParticipantID,ExperimentSequence,Layout,Difficulty,TrialState,CameraPosition.x,CameraPosition.y,CameraPosition.z,CameraEulerAngles.x,CameraEulerAngles.y,CameraEulerAngles.z,MainControllerPosition.x,MainControllerPosition.y,MainControllerPosition.z,MainControllerEulerAngles.x,MainControllerEulerAngles.y,MainControllerEulerAngles.z,MainPadPressed,MainTriggerPressed
40.29778,1,1,Training,0,0,Flat,5,showPattern,-0.06091728,0.6351894,-0.03966523,326.0801,0.4539001,353.573,-2.000897,0.8568898,-3.716846,348.28,335.2858,350.5608,False,False
40.30889,1,1,Training,0,0,Flat,5,showPattern,-0.0609452,0.6352457,-0.03966648,326.0781,0.456211,353.5776,-2.000951,0.8568825,-3.71673,348.2912,335.289,350.5664,False,False
40.32,1,1,Training,0,0,Flat,5,showPattern,-0.06106431,0.6352744,-0.03965458,326.0708,0.451409,353.586,-2.000862,0.8573252,-3.716004,348.3107,335.2878,350.5707,False,False
40.33111,1,1,Training,0,0,Flat,5,showPattern,-0.06112185,0.6352472,-0.03973361,326.0774,0.4594587,353.5792,-2.000877,0.8573347,-3.71595,348.3141,335.279,350.5686,False,False
40.34222,1,1,Training,0,0,Flat,5,showPattern,-0.0611423,0.6352649,-0.03977799,326.0752,0.455907,353.5759,-2.000852,0.8573135,-3.715915,348.3188,335.2771,350.563,False,False
40.35333,1,1,Training,0,0,Flat,5,showPattern,-0.06110407,0.6352115,-0.03976467,326.0786,0.4544165,353.5859,-2.000974,0.8574841,-3.716146,348.3174,335.2786,350.5774,False,False
40.36444,1,1,Training,0,0,Flat,5,showPattern,-0.06103108,0.6352865,-0.03986002,326.0777,0.4564419,353.5825,-2.000986,0.8575011,-3.716123,348.321,335.2791,350.5695,False,False
40.37556,1,1,Training,0,0,Flat,5,showPattern,-0.06098449,0.6351895,-0.03985287,326.0793,0.4570999,353.5823,-2.000942,0.85732,-3.716168,348.311,335.2786,350.555,False,False
40.38667,1,1,Training,0,0,Flat,5,showPattern,-0.06097655,0.6352116,-0.03982501,326.0723,0.4634055,353.5791,-2.00096,0.8573304,-3.716164,348.307,335.2754,350.546,False,False
40.39778,1,1,Training,0,0,Flat,5,showPattern,-0.06104195,0.6352757,-0.03978434,326.0778,0.4537964,353.584,-2.000843,0.8571984,-3.716332,348.2975,335.2861,350.5348,False,False
40.40889,1,1,Training,0,0,Flat,5,showPattern,-0.06104267,0.6353005,-0.03972341,326.081,0.4549018,353.5862,-2.000836,0.8571992,-3.716334,348.2985,335.2856,350.5356,False,False
40.42,1,1,Training,0,0,Flat,5,showPattern,-0.06106002,0.6353137,-0.03971687,326.0828,0.4634191,353.5805,-2.00085,0.8570629,-3.716241,348.2982,335.2867,350.5548,False,False
40.43111,1,1,Training,0,0,Flat,5,showPattern,-0.06114664,0.635299,-0.03970536,326.0782,0.4582935,353.5831,-2.00088,0.8570822,-3.716262,348.3084,335.2823,350.5844,False,False
